[2025-03-11 15:02:22.372396] [171550] [debug] init_provider started
[2025-03-11 15:02:22.372537] [171550] [info] Found kernel with version 5.14.0-503
[2025-03-11 15:02:22.372551] [171550] [info] chdir_optimization_enabled config value: true
[2025-03-11 15:02:22.372561] [171550] [info] uprobes_enabled_backported_kernel config value: false
[2025-03-11 15:02:22.372594] [171550] [info] tcp_v6_accept kprobes config value: true
[2025-03-11 15:02:22.372617] [171550] [info] tcp_v6_connect kprobes config value: true
[2025-03-11 15:02:22.372639] [171550] [info] tcp_v4_accept ebpf config value: true
[2025-03-11 15:02:22.372660] [171550] [info] tcp_v4_connect ebpf config value: true
[2025-03-11 15:02:22.372681] [171550] [info] tcp_v6_accept ebpf config value: true
[2025-03-11 15:02:22.372702] [171550] [info] tcp_v6_connect ebpf config value: true
[2025-03-11 15:02:22.372712] [171550] [info] ebpf_allow_missing_caps config value: true
[2025-03-11 15:02:22.372726] [171550] [info] btf_num_candidates config value: 3
[2025-03-11 15:02:22.372760] [171550] [debug] cron monitor: [full path: /var/spool/cron/crontabs, host path: /var/spool/cron/crontabs, path: /var/spool/cron/crontabs] does not exist
[2025-03-11 15:02:22.372862] [171550] [info] cron monitor: initialized
[2025-03-11 15:02:22.372888] [171550] [trace] utmp entry: type=7, pid=1051007, line=pts/0, id=ts/0onecloud-admin, user=onecloud-admin, host=10.51.192.166, tv=(1725120195.511691)
[2025-03-11 15:02:22.372896] [171550] [trace] utmp entry: type=8, pid=1051007, line=pts/0, id=, user=, host=, tv=(1725120195.787176)
[2025-03-11 15:02:22.372904] [171550] [trace] utmp entry: type=7, pid=1053361, line=pts/0, id=ts/0onecloud-admin, user=onecloud-admin, host=10.51.192.166, tv=(1725121997.10186)
[2025-03-11 15:02:22.372911] [171550] [trace] utmp entry: type=8, pid=1053361, line=pts/0, id=, user=, host=, tv=(1725121997.506492)
[2025-03-11 15:02:22.372918] [171550] [trace] utmp entry: type=7, pid=1055732, line=pts/0, id=ts/0onecloud-admin, user=onecloud-admin, host=10.51.192.166, tv=(1725123799.311510)
[2025-03-11 15:02:22.372927] [171550] [trace] utmp entry: type=8, pid=1055732, line=pts/0, id=, user=, host=, tv=(1725123799.576302)
[2025-03-11 15:02:22.372934] [171550] [trace] utmp entry: type=7, pid=1058088, line=pts/0, id=ts/0onecloud-admin, user=onecloud-admin, host=10.51.192.166, tv=(1725125600.929815)
[2025-03-11 15:02:22.372941] [171550] [trace] utmp entry: type=8, pid=1058088, line=pts/0, id=, user=, host=, tv=(1725125601.205465)
[2025-03-11 15:02:22.372947] [171550] [trace] utmp entry: type=7, pid=1060436, line=pts/0, id=ts/0onecloud-admin, user=onecloud-admin, host=10.51.192.166, tv=(1725127377.215254)
[2025-03-11 15:02:22.372956] [171550] [trace] utmp entry: type=8, pid=1060436, line=pts/0, id=, user=, host=, tv=(1725127377.476919)
[2025-03-11 15:02:22.372963] [171550] [trace] utmp entry: type=7, pid=1062792, line=pts/0, id=ts/0onecloud-admin, user=onecloud-admin, host=10.51.192.166, tv=(1725129180.432217)
