[2025-03-07 17:36:33.271854] [2130] [info] Destination path: /var/ossec/logs/ossec.log, amount: 38, rate: 0.010795454199214887 per second
[2025-03-07 17:36:33.272134] [2130] [info] Destination path: /sys/fs/cgroup/system.slice/nm-cloud-setup.service/cgroup.procs, amount: 24, rate: 0.007274461025126433 per second
[2025-03-07 17:36:33.272137] [2130] [info] Destination path: /etc/hosts, amount: 14, rate: 0.0042424239528081 per second
[2025-03-07 17:36:33.272138] [2130] [info] Destination path: /sys/fs/cgroup/system.slice/nm-cloud-setup.service/cpu.idle, amount: 12, rate: 0.0036372316900195527 per second
[2025-03-07 17:36:33.272140] [2130] [info] Top binaries:
[2025-03-07 17:36:33.272153] [2130] [info] Source path: /var/ossec/bin/wazuh-agentd, amount: 2198, rate: 0.6113705088571552 per second
[2025-03-07 17:36:33.272154] [2130] [info] Source path: /usr/lib/systemd/systemd, amount: 816, rate: 0.24732959040454267 per second
[2025-03-07 17:36:33.272155] [2130] [info] Source path: /usr/bin/bash, amount: 331, rate: 0.1007168387501677 per second
[2025-03-07 17:36:33.272156] [2130] [info] Source path: /usr/bin/ps, amount: 177, rate: 0.04999999075435199 per second
[2025-03-07 17:36:33.272157] [2130] [info] Source path: /usr/bin/ssm-agent-worker, amount: 125, rate: 0.03683400121840994 per second
[2025-03-07 17:36:33.272158] [2130] [info] Source path: /usr/bin/hostname, amount: 120, rate: 0.03636362406435678 per second
[2025-03-07 17:36:33.272159] [2130] [info] Source path: /usr/bin/python3.9, amount: 78, rate: 0.12036976767745755 per second
[2025-03-07 17:36:33.272160] [2130] [info] Source path: /usr/bin/amazon-ssm-agent, amount: 69, rate: 0.019491523861940183 per second
[2025-03-07 17:36:33.272161] [2130] [info] Source path: /usr/libexec/nm-cloud-setup, amount: 64, rate: 0.01939845962083702 per second
[2025-03-07 17:36:33.272163] [2130] [info] Source path: /usr/bin/sed, amount: 63, rate: 0.01942522353627267 per second
[2025-03-07 17:36:33.272163] [2130] [info] Overall events:
[2025-03-07 17:36:33.272166] [2130] [info] Event type: user_login, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272167] [2130] [info] Event type: tcp_connect, amount: 144, rate: 0.040160181992311035 per second
[2025-03-07 17:36:33.272168] [2130] [info] Event type: python_exec, amount: 61, rate: 0.09413585884838006 per second
[2025-03-07 17:36:33.272170] [2130] [info] Event type: ransomware_verdict, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272171] [2130] [info] Event type: fork, amount: 223, rate: 0.06206785958500553 per second
[2025-03-07 17:36:33.272172] [2130] [info] Event type: shell_command, amount: 31, rate: 0.009558450215102522 per second
[2025-03-07 17:36:33.272173] [2130] [info] Event type: pam_modification, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272174] [2130] [info] Event type: file_read, amount: 128, rate: 0.03562642600839951 per second
[2025-03-07 17:36:33.272175] [2130] [info] Event type: pivot_root, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272177] [2130] [info] Event type: memory_dump, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272224] [2130] [info] Event type: user_modify, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272226] [2130] [info] Event type: file_chattr, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272227] [2130] [info] Event type: commit_creds_pe, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272229] [2130] [info] Event type: remote_brute_force_attempt, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272230] [2130] [info] Event type: kill, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272231] [2130] [info] Event type: python27_readline, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272232] [2130] [info] Event type: agent_start, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272233] [2130] [info] Event type: execv, amount: 207, rate: 0.05761458471778527 per second
[2025-03-07 17:36:33.272234] [2130] [info] Event type: memory_protection, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272235] [2130] [info] Event type: finit_module, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272253] [2130] [info] Event type: file_create, amount: 746, rate: 0.20740533812024248 per second
